user,top_k_accuracy,pair_accuracy,recall_accuracy,avg_top_k_accuracy,avg_pair_accuracy,avg_recall_accuracy
user_196,0.05952380952380952,0.7111570247933884,0.3448275862068966,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_186,0.13095238095238096,0.5693012600229095,0.2682926829268293,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_22,0.23809523809523808,0.7570830253757083,0.3389830508474576,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_244,0.4523809523809524,0.7364705882352941,0.3333333333333333,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_166,0.03571428571428571,0.6988993710691824,0.6,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_298,0.36904761904761907,0.7708180409428268,0.5299145299145299,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_115,0.19642857142857142,0.8066168935734153,0.4024390243902439,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_253,0.23809523809523808,0.8201282051282052,0.45977011494252873,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_305,0.44642857142857145,0.7502951593860685,0.35377358490566035,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_6,0.44047619047619047,0.7542087542087542,0.3681592039800995,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_62,0.4880952380952381,0.784084084084084,0.36936936936936937,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_286,0.49404761904761907,0.7381404174573055,0.29856115107913667,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_200,0.42857142857142855,0.7663294797687862,0.34951456310679613,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_210,0.35119047619047616,0.7488226059654631,0.48360655737704916,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_224,0.17857142857142858,0.5862998921251349,0.22900763358778625,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_303,0.6904761904761905,0.7464045674640457,0.24472573839662448,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_122,0.10119047619047619,0.6546666666666666,0.3333333333333333,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_194,0.5952380952380952,0.7845997286295794,0.3389830508474576,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_291,0.4226190476190476,0.6779116465863454,0.24825174825174826,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_234,0.6845238095238095,0.7669121658483361,0.24468085106382978,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_119,0.3333333333333333,0.7344632768361582,0.32748538011695905,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_167,0.10119047619047619,0.5579545454545455,0.288135593220339,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_299,0.5119047619047619,0.7437387574373876,0.31851851851851853,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_308,0.6607142857142857,0.7467789258834034,0.2868217054263566,0.21148942079482863,0.7378877823159637,0.4640113369455171
user_95,0.5416666666666666,0.7277195281782438,0.33955223880597013,0.21148942079482863,0.7378877823159637,0.4640113369455171
