user,top_k_accuracy,pair_accuracy,avg_top_k_accuracy,avg_pair_accuracy
user_1,0.2,0.7853237095363079,0.4033443708609237,0.7544692277724636
user_2,0.8,0.7701221354279055,0.4033443708609237,0.7544692277724636
user_3,0.6,0.857445987654321,0.4033443708609237,0.7544692277724636
user_4,0.4,0.9141716566866267,0.4033443708609237,0.7544692277724636
user_5,0.4,0.7007015972533214,0.4033443708609237,0.7544692277724636
user_6,0.2,0.7182936722552731,0.4033443708609237,0.7544692277724636
user_7,0.5,0.8981454650825847,0.4033443708609237,0.7544692277724636
user_8,0.6,0.7185926916511737,0.4033443708609237,0.7544692277724636
user_9,0.5,0.8191404794435474,0.4033443708609237,0.7544692277724636
user_10,0.9,0.7857273034965763,0.4033443708609237,0.7544692277724636
user_11,0.2,0.7694934968806175,0.4033443708609237,0.7544692277724636
user_12,0.1,0.9035589450270098,0.4033443708609237,0.7544692277724636
user_13,0.8,0.8395348837209302,0.4033443708609237,0.7544692277724636
user_14,0.0,0.7967023172905526,0.4033443708609237,0.7544692277724636
user_15,0.8,0.772737556561086,0.4033443708609237,0.7544692277724636
user_16,0.0,0.6023278370514064,0.4033443708609237,0.7544692277724636
user_17,0.9,0.779547437529501,0.4033443708609237,0.7544692277724636
user_18,0.6,0.749749899959984,0.4033443708609237,0.7544692277724636
user_19,1.0,0.8060726638303082,0.4033443708609237,0.7544692277724636
user_20,0.2,0.8286052009456265,0.4033443708609237,0.7544692277724636
user_21,0.1,0.7343598448108632,0.4033443708609237,0.7544692277724636
user_22,0.7,0.77320581257414,0.4033443708609237,0.7544692277724636
user_23,0.7,0.7802053712480252,0.4033443708609237,0.7544692277724636
user_24,0.5,0.8587463556851312,0.4033443708609237,0.7544692277724636
user_25,0.6,0.8105968526100307,0.4033443708609237,0.7544692277724636
user_26,0.7,0.6950949947647728,0.4033443708609237,0.7544692277724636
user_27,0.1,0.7174352750809061,0.4033443708609237,0.7544692277724636
user_28,0.7,0.8360131116955807,0.4033443708609237,0.7544692277724636
user_29,0.4,0.793981133022229,0.4033443708609237,0.7544692277724636
user_30,0.4,0.8101149425287356,0.4033443708609237,0.7544692277724636
user_31,0.2,0.6803472038165915,0.4033443708609237,0.7544692277724636
user_32,0.3,0.772339711312521,0.4033443708609237,0.7544692277724636
user_33,0.9,0.7549818840579711,0.4033443708609237,0.7544692277724636
user_34,0.3,0.746991377728857,0.4033443708609237,0.7544692277724636
user_35,0.4,0.6672208562619522,0.4033443708609237,0.7544692277724636
user_36,0.9,0.8288362463286629,0.4033443708609237,0.7544692277724636
user_37,0.2,0.7741854636591479,0.4033443708609237,0.7544692277724636
user_38,0.0,0.665074120378639,0.4033443708609237,0.7544692277724636
user_39,0.1,0.7756424145252849,0.4033443708609237,0.7544692277724636
user_40,0.2,0.6833284038252982,0.4033443708609237,0.7544692277724636
user_41,0.2,0.7835414665385847,0.4033443708609237,0.7544692277724636
user_42,0.7,0.8085851187963952,0.4033443708609237,0.7544692277724636
user_43,0.1,0.8507451452656932,0.4033443708609237,0.7544692277724636
user_44,0.8,0.8126239107381622,0.4033443708609237,0.7544692277724636
user_45,0.2,0.6411881916945883,0.4033443708609237,0.7544692277724636
user_46,0.0,0.3132194677946137,0.4033443708609237,0.7544692277724636
user_47,0.0,0.8345177664974619,0.4033443708609237,0.7544692277724636
user_48,1.0,0.7832021133326427,0.4033443708609237,0.7544692277724636
user_49,0.7,0.7802909108808546,0.4033443708609237,0.7544692277724636
user_50,0.1,0.5516273849607183,0.4033443708609237,0.7544692277724636
user_51,0.0,0.7020502645502645,0.4033443708609237,0.7544692277724636
user_52,0.5,0.753153449599649,0.4033443708609237,0.7544692277724636
user_53,1.0,0.7204709913785247,0.4033443708609237,0.7544692277724636
user_54,0.1,0.7477447152282214,0.4033443708609237,0.7544692277724636
user_55,0.1,0.8743926141885325,0.4033443708609237,0.7544692277724636
user_56,0.4,0.8525567530382939,0.4033443708609237,0.7544692277724636
user_57,0.2,0.7477391595599413,0.4033443708609237,0.7544692277724636
user_58,1.0,0.8352277852954443,0.4033443708609237,0.7544692277724636
user_59,0.4,0.6723927732079906,0.4033443708609237,0.7544692277724636
user_60,0.0,0.7102046889280932,0.4033443708609237,0.7544692277724636
user_61,0.0,0.5548886737657309,0.4033443708609237,0.7544692277724636
user_62,0.8,0.71711503347535,0.4033443708609237,0.7544692277724636
user_63,0.1,0.6959325122880654,0.4033443708609237,0.7544692277724636
user_64,0.2,0.8796283829271576,0.4033443708609237,0.7544692277724636
user_65,0.8,0.816477698997221,0.4033443708609237,0.7544692277724636
user_66,0.3,0.9001336501336501,0.4033443708609237,0.7544692277724636
user_67,0.1,0.6422119547119547,0.4033443708609237,0.7544692277724636
user_68,0.2,0.8021438878581736,0.4033443708609237,0.7544692277724636
user_69,0.4,0.6993029770047554,0.4033443708609237,0.7544692277724636
user_70,0.1,0.8182466708941027,0.4033443708609237,0.7544692277724636
user_71,0.1,0.7816277195809831,0.4033443708609237,0.7544692277724636
user_72,0.2,0.8259438528557599,0.4033443708609237,0.7544692277724636
user_73,0.8,0.7915759390310289,0.4033443708609237,0.7544692277724636
user_74,0.0,0.7288589167201884,0.4033443708609237,0.7544692277724636
user_75,0.4,0.5382489669421487,0.4033443708609237,0.7544692277724636
user_76,0.3,0.7406503517689433,0.4033443708609237,0.7544692277724636
user_77,0.0,0.7401768172888016,0.4033443708609237,0.7544692277724636
user_78,0.1,0.6476781480964998,0.4033443708609237,0.7544692277724636
user_79,0.0,0.7326549491211841,0.4033443708609237,0.7544692277724636
user_80,0.4,0.8314527719169496,0.4033443708609237,0.7544692277724636
user_81,0.5,0.7277087646652864,0.4033443708609237,0.7544692277724636
user_82,0.6,0.8081482113162495,0.4033443708609237,0.7544692277724636
user_83,0.4,0.732851194389656,0.4033443708609237,0.7544692277724636
user_84,0.5,0.9551878662530162,0.4033443708609237,0.7544692277724636
user_85,0.2,0.7094976783452934,0.4033443708609237,0.7544692277724636
user_86,0.3,0.7389420012746972,0.4033443708609237,0.7544692277724636
user_87,0.5,0.8132735970840611,0.4033443708609237,0.7544692277724636
user_88,0.2,0.8065911431513904,0.4033443708609237,0.7544692277724636
user_89,0.1,0.8096582000627156,0.4033443708609237,0.7544692277724636
user_90,0.3,0.7247033850652271,0.4033443708609237,0.7544692277724636
user_91,0.0,0.8173662830060935,0.4033443708609237,0.7544692277724636
user_92,0.7,0.7334215442092155,0.4033443708609237,0.7544692277724636
user_93,0.7,0.7494871964533845,0.4033443708609237,0.7544692277724636
user_94,0.0,0.6279178338001867,0.4033443708609237,0.7544692277724636
user_95,0.4,0.8057277460947185,0.4033443708609237,0.7544692277724636
user_96,0.6,0.8776575019904795,0.4033443708609237,0.7544692277724636
user_97,0.3,0.5770923787990956,0.4033443708609237,0.7544692277724636
user_98,0.0,0.7142857142857143,0.4033443708609237,0.7544692277724636
user_99,0.3,0.7989900588413011,0.4033443708609237,0.7544692277724636
user_100,0.4,0.8526104674731699,0.4033443708609237,0.7544692277724636
user_101,0.3,0.7522693801044317,0.4033443708609237,0.7544692277724636
user_102,0.2,0.7175525060475211,0.4033443708609237,0.7544692277724636
user_103,0.4,0.7372540552211816,0.4033443708609237,0.7544692277724636
user_104,0.1,0.6546259842519685,0.4033443708609237,0.7544692277724636
user_105,0.6,0.8330940416367552,0.4033443708609237,0.7544692277724636
user_106,0.1,0.686145090791751,0.4033443708609237,0.7544692277724636
user_107,0.2,0.6930280470103479,0.4033443708609237,0.7544692277724636
user_108,0.3,0.7502923976608187,0.4033443708609237,0.7544692277724636
user_109,0.4,0.8064387340301974,0.4033443708609237,0.7544692277724636
user_110,0.2,0.7046921549155909,0.4033443708609237,0.7544692277724636
user_111,0.2,0.766988855579604,0.4033443708609237,0.7544692277724636
user_112,0.0,0.6217983405483406,0.4033443708609237,0.7544692277724636
